Name,College,Graduated?,Grade
Jeffrey Okudah,Ohio State,No,99.25
CJ Henderson,Florida,No,95.5
Kristian Fulton,LSU,Yes,93.25
Trevon Diggs ,Alabama,Yes,91
A.J. Terrell,Clemson,No,88
Jaylon Johnson ,Utah,Yes,86.75
Damon Arnette,Ohio State,Yes,85.25
Noah Igbinoghene,Auburn,No,84
Jeff Gladney ,TCU,Yes,80.6
Amik Robertson,Louisiana Tech,No,79.6
Bryce Hall,Virginia,Yes,76.125
Cameron Dantzler,Mississippi State,No,73.875
Troy Pride Jr.,Notre Dame,Yes,73.5
Darnay Holmes,UCLA,Yes,71.5
Kindle Vildor,Georgia Southern,Yes,68
Harrison Hand,Temple,No,66
Michael Ojemudia ,Iowa,Yes,64.5
Reggie Robinson II  ,Tulsa,Yes,60.7
Dane Jackson ,Pittsburgh,Yes,58.1
Javaris Davis,Auburn,Yes,57.5
Javelin K. Guidry ,Utah,No,57
A.J. Green,Oklahoma State,Yes,51.8
Essang Bassey,Wake Forest,Yes,51.1
Lamar Jackson,Nebraska,Yes,48
Stantley Thomas-Oliver III ,Florida International,Yes,46.5
John Reid ,Penn State,Yes,42.1
Chris Claybrooks,Memphis,Yes,41.5
Parnell Motley,Oklahoma,Yes,40.5
Will Sunderland,Troy,Yes,38
Lavert Hill,Michigan,Yes,36.7
Josiah Scott,Michigan State,No,36.2
Stanford Samuels III,Florida State,No,32
Trajan Bandy,Miami (FL),No,30.6
Jace Whittaker,Arizona,Yes,29.1
Luq Barcoo,San Diego State,Yes,26.3
Damon Hayes,Rutgers,Yes,25.9
Chris Williamson,Minnesota,Yes,25.4
Nevelle Clarke,UCF,Yes,23.1
