Name,College,Graduated?,Grade
Derrick Brown,Auburn,Yes,98.5
Javon Kinlaw ,South Carolina,Yes,96.25
Ross Blacklock,TCU,No,90
Marlon Davidson,Auburn,Yes,87.25
Neville Galimore,Oklahoma,Yes,86
Justin Madubuike,Texas A&M,Yes,83.75
Jordan Elliott,Missouri,No,80.4
James Lynch,Baylor,No,78.6
Raekwan Davis,Alabama,Yes,75.375
Leki Fotu,Utah,Yes,71.9
Rashard Lawrence,LSU,Yes,67.9
Davon Hamilton,Ohio State,Yes,67.1
Benito Jones,Mississippi,Yes,66.5
Khalil Davis,Nebraska,Yes,62.5
Larrell Murchison,North Carolina State,Yes,57
Robert Windsor,Penn State,Yes,52.5
McTelvin Agim ,Arkansas,Yes,48
Raequan Williams ,Michigan State,Yes,47.7
Malcolm Roach ,Texas,Yes,46.5
Carlos Davis,Nebraska,Yes,45.6
Bravvion Roy,Baylor,Yes,45.2
Garrett Marino,Alabama-Birmingham,Yes,44.9
Teair Tart,Florida International,Yes,44.3
Broderick Washington Jr.,Texas Tech,Yes,44
Tyler Clark,Georgia,Yes,42.5
Jashon Cornell,Ohio State,Yes,41.7
Trevon McSwain,Duke,Yes,38.1
Doug Costin,Miami (OH),Yes,35.6
