Name,College,Graduated?,Grade
Xavier McKinney ,Alabama,No,92.5
Antoine Winfield Jr.,Minnesota,No,88.5
Ashtyn Davis,California,Yes,81.4
J.R. Reed,Georgia,Yes,71.9
Alohi Gilman,Notre Dame,Yes,70.5
Brandon Jones,Texas,Yes,67
Julian Blackmon,Utah,Yes,61.5
LJarius Sneed,Louisiana Tech,Yes,52
KVon Wallace,Clemson,Yes,47.8
Jordan Fuller,Ohio State,Yes,40.6
Myles Dorn,North Carolina,Yes,36.5
Kenny Robinson Jr.,West Virginia,No,32
Grayland Arnold,Baylor,No,31.3
Douglas Coleman III,Texas Tech,Yes,30.5
James Hendricks,North Dakota State,Yes,28.1
