Name,College,Graduated?,Grade
Kenneth Murray,Oklahoma,Yes,93
Jordyn Brooks,Texas Tech,Yes,79.6
Logan Wilson,Wyoming,Yes,76
Jacob Phillips,LSU,No,71.5
David Woodward,Utah State,No,69.3
Evan Weaver,California,Yes,66.8
Shaquille Quarterman ,Miami (FL),Yes,57.4
Francis Bernard,Utah,Yes,54.2
Joe Bachie,Michigan State,Yes,45
Mykal Walker ,Fresno Stae,Yes,41.7
Dante Olson ,Montana,Yes,34.3
Kyahva Tezino,San Diego State,Yes,28
Markus Bailey,Purdue,Yes,26.4
DeJon Harris,Arkansas,Yes,25.1
David Reese II,Florida,Yes,24.8
Dele Harding,Illinois,Yes,23
Cale Garrett,Missouri,Yes,21.5
