Name,College,Graduated?,Grade
Cesar Ruiz,Michigan,No,94
Josh Jones ,Houston,Yes,90.5
John Simpson,Clemson,Yes,82.25
Robert Hunt,Louisiana,Yes,78
Ben Bredeson,Michigan,Yes,75.1
Netane Muti,Fresno State,No,71.8
Shane Lemieux,Oregon,Yes,68.2
Logan Stenberg,Kentucky,Yes,64.3
Damien Lewis,LSU,Yes,60.5
Danny Pinter,Ball State,Yes,57
Hakeem Adeniji,Kansas,Yes,51.3
Solomon Kindley,Georgia,No,48.1
Jonah Jackson,Ohio State,Yes,41.5
Jon Runyan,Michigan,Yes,36.8
Jack Driscoll,Auburn,Yes,32.1
Kevin Dotson,Louisiana,Yes,31
Michael Onwenu,Michigan,Yes,28.3
Simon Stepaniak,Indiana,Yes,26.4
Tremayne Anchrum,Clemson,Yes,24.2
Daishawn Dixon,San Diego State,Yes,22.6
