Name,College,Graduated?,Grade
 Isaiah Simmons ,Clemson,Yes,99
Patrick Queen,LSU,No,94.75
KLavon Chaisson,LSU,No,93.75
Zack Baun,Wisconsin,Yes,91.5
Malik Harrison,Ohio State,Yes,84.75
Jeremy Chinn,Southern Illinois,Yes,84.5
John Uche,Michigan,Yes,83.5
Julian Okwara,Notre Dame,Yes,80.2
Anfernee Jennings ,Alabama,Yes,78.8
Akeem Davis-Gaither,Appalachian State,Yes,77.625
Willie Gay Jr,Mississippi State,No,73.5
Davion Taylor ,Colorado,Yes,70
Brian Cole II,Mississippi State,Yes,65.4
Troy Dye,Oregon,Yes,61.5
Cam Brown,Penn State,Yes,58.5
Carter Coughlin ,Minnesota,Yes,54.7
Khaleke Hudson,Michigan,Yes,51.9
Shaun Bradley ,Temple,Yes,49.2
Tanner Muse,Clemson,Yes,47.6
Jordan Mack,Virginia,Yes,40.8
Kamal Martin,Minnesota,Yes,39.1
Casey Toohill,Stanford,Yes,35
Michael Pinckney ,Miami (FL),Yes,32.1
Oluwole Betiku Jr ,Illinois,Yes,31.7
Chapelle Russell  ,Temple,Yes,30.5
Azur Kamara,Kansas,Yes,29.5
Cam Gill,Wagner,Yes,29.1
Daniel Bituli ,Tennessee,Yes,28.2
Justin Strnad ,Wake Forest,Yes,25.4
Keandre Jones ,Maryland,Yes,23.2
