Name,College,Graduated?,Grade
Tristan Wirfs,Iowa,No,98.25
Mekhi Becton,Louisville,No,97.5
Jedrick Wills Jr.,Alabama,No,97.25
Andrew Thomas,Georgia,No,96.75
Ezra Cleveland,Boise State,No,92.5
Austin Jackson,USC,No,92.25
Isaiah Wilson,Georgia,No,82.75
Matt Peart,Connecticut,Yes,78.6
Ben Bartch,Saint Johns (MN),Yes,77.25
Lucas Niang,TCU,Yes,75
Prince Tega Wanogho ,Auburn,Yes,71.3
Saahdiq Charles ,LSU,No,63.2
Charlie Heck,North Carolina,Yes,59.6
Colton McKivitz  ,West Virginia,Yes,57
Alex Taylor,South Carolina State,Yes,52.5
Cameron Clark,Charlotte,Yes,40.1
Terrence Steele,Texas Tech,Yes,37.4
Darrin Paulo,Utah,Yes,31
Yasir Durant,Missouri,Yes,28.2
Trey Adams,Washington,Yes,27.8
Tyre Phillips,Mississippi State,Yes,24.3
Blake Brandel,Oregon State,Yes,23.5
Branden Bowen,Ohio State,Yes,22.8
Alex Givens,Mississippi,Yes,21.6
