Name,College,Graduated?,Grade
Joe Burrow,LSU,Yes,100
Tua Tagovailoa ,Alabama,No,98.75
Justin Herbert,Oregon,Yes,98
Jordan Love,Utah State,Yes,94.5
Jacob Eason,Washington,No,82
Jake Fromm,Georgia,No,80.8
Jalen Hurts,Oklahoma,Yes,75.5
James Morgan,Florida International,Yes,66.5
Nate Stanley,Iowa,Yes,56.5
Steven Montez,Colorado,Yes,46.5
Anothony Gordon,Washington State,Yes,39
Jake Luton,Oregon State,Yes,37.5
Kevin Davidson,Princeton,Yes,37
Brian Lewerke,Michigan State,Yes,29.5
Cole McDonald,Hawaii,No,28
Kelly Bryant,Missouri,Yes,26.5
Nathan Rourke,Ohio,Yes,26.4
