Name,College,Graduated?,Grade
J.K. Dobbins,Ohio State,No,96
DAndre Swift,Georgia,No,94.25
Jonathan Taylor,Wisconson,No,93.5
Clyde Edwards-Helaire,LSU,No,86.5
Cam Akers,Florida State,No,85.75
Antonio Gibson,Memphis,Yes,76.875
Zack Moss,Utah,Yes,74.625
Darrynton Evans , Appalachian State,No,69.1
AJ Dillon,Boston College,No,66.2
Anthony McFarland Jr. ,Maryland,No,65.8
Joshua Kelly,UCLA,Yes,60.2
Lamical Perine,Florida,Yes,68
Eno Benjamin,Arizona State,Yes,65.7
KeShawn Vaughn ,Vanderbilt,Yes,63.4
DeeJay Dallas,Miami (FL),No,59
Javon Leake,Maryland,No,58.1
James Robinson ,Illinois State,Yes,56.9
Michael Warren II,Cincinnati,No,52.2
Benny LeMay,Charlotte,Yes,48.5
Raymond Calais,Louisiana,Yes,48.3
Darius Anderson,TCU,Yes,47.5
Malcolm Perry,Navy,Yes,45.3
Salvon Ahmed,Washington,No,43
JaMycal Hasty  ,Baylor,Yes,41
Patrick Taylor Jr. ,Memphis,Yes,39.3
Brian Herrien ,Georgia,Yes,35.2
Rodney Smith,Minnesota,Yes,31.7
Xavier Jones,SMU,Yes,29
Pete Guerriero,Monmouth (NJ),No,28
LeVante Bellamy  ,Western Michigan,Yes,26.3
 Sewo Olonilua,TCU,Yes,22.1
