Name,College,Graduated?,Grade
Grant Delpit ,LSU,No,95.25
Kyle Dugger,Lenoir-Rhyne,Yes,90
Terrell Burgess,Utah,Yes,81.6
Antoine Brooks Jr. ,Maryland,Yes,68
Josh Metellus,Michigan,Yes,61.9
Geno Stone,Iowa,No,51.7
Javin White,UNLV,Yes,47.3
Rodney Clemons ,SMU,Yes,36.4
Jaquarius Landrews ,Mississippi State,Yes,34.2
Jalen Elliot,Notre Dame,Yes,32.8
Allijah Halliburton,Wyoming,Yes,30
Jared Mayden,Alabama,Yes,28.5
Luther Kirk,Illinois State,Yes,26
Elijah Riley,Army,Yes,24.7
Brayden Konkol,Montana State,Yes,22
