Name,College,Graduated?,Grade
CeeDee Lamb,Oklahoma,No,97.75
Jerry Jeudy ,Alabama,No,97
Henry Ruggs III,Alabama,No,96.5
Justin Jefferson,LSU,No,95.75
Denzel Mims,Baylor,Yes,92.75
Jalen Reagor,TCU,No,89.5
Brandon Aiyuk,Arizona State,Yes,87.75
Tee Higgins,Clemson,No,87
Michael Pittman Jr.,USC,Yes,86.25
Chase Claypool,Notre Dame,Yes,85.5
KJ Hamler ,Penn State,No,84.25
Laviska Shenault Jr.,Colorado,No,83.25
Antonio Gandy-Golden,Liberty,Yes,80
Gabriel Davis,UCF,No,79
Devin Duvernay,Texas,Yes,75.75
Bryan Edwards,South Calorina,Yes,72.75
Isaiah Coultier,Rhode Island,No,72.1
Van Jefferson,Florida,Yes,71.8
Joe Reed,Virginia,Yes,70.5
James Proche,SMU,Yes,68
Lynn Bowden Jr.,Kentucky,No,66
Tyler Johnson ,Minnesota,Yes,64.3
K.J. Hill,Ohio State,Yes,60
Donovan Peoples-Jones ,Michigan,No,57.8
John Hightower,Boise State,Yes,52
Quartney Davis,Texas A&M,Yes,50.5
Collin Johnson,Texas,Yes,48
Isaiah Hodgins,Oregon State,No,45.1
Quez Watkins,Southern Miss,No,42
Josh Pearson,Jacksonville State,Yes,40.2
Quintez Cephus,Wisconsin,No,37.6
Juwan Johnson ,Oregon,Yes,35.2
Omar Bayless,Arkansas State,Yes,33.7
Austin Mack,Ohio State,Yes,32
Aaron Parker,Rhode Island,Yes,31.8
Trishton Jackson,Syracuse,No,30.5
Binjimen Victor,Ohio State,Yes,29.2
Marquez Callaway,Tennessee,Yes,29
Lawrence Cager,Georgia,Yes,28.3
Jauan Jennings,Tennessee,Yes,27.7
Jeff Thomas,Miami (FL),No,25.1
Kalija Lipscomb,Vanderbilt,Yes,24
Scotty Washington,Wake Forest,Yes,23.5
Aaron Fuller,Washington,Yes,21.3
